Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2014,11,29,23:00:18,32.9767,136.9785,12.2,4.6,"124km SE of Shingu, Japan",1417302018
2014,11,29,02:52:44,39.5311,143.2804,30.7,4.2,"114km E of Miyako, Japan",1417229564
2014,11,28,23:48:21,39.606,143.2059,37,4.7,"107km E of Miyako, Japan",1417218501
2014,11,28,22:37:58,27.5155,128.7357,45.2,4.5,"119km SW of Naze, Japan",1417214278
2014,11,28,15:51:28,44.4609,152.4577,29.7,4.7,"East of the Kuril Islands",1417189888
2014,11,28,11:57:16,39.4604,143.3761,30.6,4.3,"122km E of Yamada, Japan",1417175836
2014,11,28,00:23:36,34.1137,141.7434,32.5,4.4,"174km SE of Katsuura, Japan",1417134216
2014,11,27,16:18:33,22.7446,145.3809,46.4,4.4,"249km NNE of Farallon de Pajaros, Northern Mariana Islands",1417105113
2014,11,27,12:50:16,45.3237,151.3763,33.2,4.9,"274km E of Kuril'sk, Russia",1417092616
2014,11,26,19:56:26,34.8618,140.2021,67.7,4.4,"28km SSE of Kawaguchi, Japan",1417031786
2014,11,26,19:18:30,39.4499,143.9511,25,4.4,"172km E of Yamada, Japan",1417029510
2014,11,26,12:42:37,48.8371,154.1076,102.4,5,"251km SW of Severo-Kuril'sk, Russia",1417005757
2014,11,25,22:10:28,38.7033,142.5565,42.5,4.3,"83km ESE of Ofunato, Japan",1416953428
2014,11,25,19:56:17,22.1148,143.9622,36,4.7,"199km NNW of Farallon de Pajaros, Northern Mariana Islands",1416945377
2014,11,25,19:38:18,36.6155,141.849,44.2,4.4,"98km ESE of Iwaki, Japan",1416944298
2014,11,25,18:14:43,22.1893,143.43,42,4.5,"237km NW of Farallon de Pajaros, Northern Mariana Islands",1416939283
2014,11,25,15:16:39,31.6318,138.3529,378.4,4.1,"210km SW of Hachijo-jima, Japan",1416928599
2014,11,25,10:18:42,38.7243,144.4318,23.9,4.5,"228km ESE of Kamaishi, Japan",1416910722
2014,11,25,01:16:40,44.5734,149.1551,69.2,4.4,"124km SE of Kuril'sk, Russia",1416878200
2014,11,24,21:26:57,36.7696,138.0384,8.6,4.5,"18km NW of Nagano-shi, Japan",1416864417
2014,11,24,20:31:14,22.779,143.1946,67.4,4.5,"291km SE of Iwo Jima, Japan",1416861074
2014,11,24,07:07:23,30.8335,141.9928,10,4.7,"Izu Islands, Japan region",1416812843
2014,11,23,22:26:23,49.0727,152.9185,174.9,4.3,"291km SW of Severo-Kuril'sk, Russia",1416781583
2014,11,23,21:49:12,49.7386,155.8765,68.2,4.1,"106km S of Severo-Kuril'sk, Russia",1416779352
2014,11,23,13:34:54,39.6015,143.2619,18.2,5,"112km E of Miyako, Japan",1416749694
2014,11,23,04:46:22,36.0423,140.8904,67.9,4.2,"23km ENE of Kashima-shi, Japan",1416717982
2014,11,23,03:46:38,36.6657,137.9627,10,4.3,"19km W of Nagano-shi, Japan",1416714398
2014,11,22,16:45:53,37.7204,140.9815,80.9,4.5,"26km N of Namie, Japan",1416674753
2014,11,22,14:18:24,39.526,143.4417,30.7,4.3,"128km E of Miyako, Japan",1416665904
2014,11,22,13:54:58,36.8175,137.8689,7.5,4.6,"24km S of Itoigawa, Japan",1416664498
2014,11,22,13:37:48,36.6804,137.9236,7.1,4.6,"20km NNE of Omachi, Japan",1416663468
2014,11,22,13:08:18,36.6408,137.8875,9,6.2,"15km N of Omachi, Japan",1416661698
2014,11,22,04:44:11,33.7809,135.295,48.3,4.3,"8km NW of Tanabe, Japan",1416631451
2014,11,22,03:10:28,36.5547,142.7272,26.1,4.3,"173km ESE of Iwaki, Japan",1416625828
2014,11,22,00:07:10,37.2886,141.6292,24.4,4.5,"59km ESE of Namie, Japan",1416614830
2014,11,21,17:01:20,48.5322,154.6215,84.6,4.7,"262km SSW of Severo-Kuril'sk, Russia",1416589280
2014,11,21,07:51:53,37.0866,144.0872,35,4.1,"277km E of Namie, Japan",1416556313
2014,11,21,05:47:41,30.5126,131.4607,10,4.5,"50km ESE of Nishinoomote, Japan",1416548861
2014,11,21,05:00:50,30.4096,131.5179,7.8,4.4,"61km SE of Nishinoomote, Japan",1416546050
2014,11,21,04:57:29,30.2416,138.6329,425,4.2,"Izu Islands, Japan region",1416545849
2014,11,21,04:28:49,30.6262,131.3248,18.6,4.4,"33km ESE of Nishinoomote, Japan",1416544129
2014,11,21,04:28:26,30.557,131.4948,10,4.2,"51km ESE of Nishinoomote, Japan",1416544106
2014,11,20,23:55:55,48.2963,154.1633,73.8,4.5,"300km SSW of Severo-Kuril'sk, Russia",1416527755
2014,11,20,19:53:00,41.5672,142.0134,60.6,4.1,"73km ENE of Mutsu, Japan",1416513180
2014,11,20,14:50:32,38.6896,144.4836,24.5,4.4,"234km ESE of Kamaishi, Japan",1416495032
2014,11,20,10:06:15,36.7758,141.1196,47,4.2,"33km E of Kitaibaraki, Japan",1416477975
2014,11,20,01:51:42,37.3226,141.6082,32,5.6,"56km ESE of Namie, Japan",1416448302
2014,11,19,14:39:36,30.6551,131.5143,10,4.5,"50km E of Nishinoomote, Japan",1416407976
2014,11,19,14:34:42,30.6106,131.3516,22.6,5.1,"36km ESE of Nishinoomote, Japan",1416407682
2014,11,19,04:32:33,38.8693,141.9379,65.9,4.3,"29km SE of Ofunato, Japan",1416371553
2014,11,19,00:54:42,36.7175,141.9409,18.7,4.2,"101km ESE of Iwaki, Japan",1416358482
2014,11,18,21:15:38,36.9578,140.5961,105.6,4.5,"23km NW of Kitaibaraki, Japan",1416345338
2014,11,18,15:20:49,30.0444,131.1233,18.6,5,"77km S of Nishinoomote, Japan",1416324049
2014,11,18,14:34:46,33.8761,139.3451,55.3,4.3,"94km SSE of Shimoda, Japan",1416321286
2014,11,18,14:19:00,39.8329,141.6725,55.1,4.5,"32km NW of Miyako, Japan",1416320340
2014,11,17,22:15:23,44.8201,149.2979,35,4.2,"120km ESE of Kuril'sk, Russia",1416262523
2014,11,17,21:07:14,34.5892,135.0651,14.5,4.3,"8km ESE of Akashi, Japan",1416258434
2014,11,17,20:53:22,42.1033,144.3679,25.6,4.7,"96km S of Kushiro, Japan",1416257602
2014,11,17,18:27:51,30.6474,140.1115,134.8,4.5,"271km S of Hachijo-jima, Japan",1416248871
2014,11,17,17:46:04,38.3839,142.2307,37.5,4.5,"81km E of Ishinomaki, Japan",1416246364
2014,11,17,04:08:42,45.3176,151.092,35,4.4,"251km E of Kuril'sk, Russia",1416197322
